show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,Data_Quality_Notes
s1,Movie,Dickjohnsonisdead,Kirstenjohnson,,Unitedstates,25-Sep-21,2020,PG-13,90min,Documentaries,"Asherfathernearstheendofhislife,filmmakerKirstenJohnsonstageshisdeathininventiveandcomicalwaystohelpthembothfacetheinevitable.","Text cleaned, spaces removed, duplicates handled"
s2,TVShow,Blood&Water,,"Amaqamata,Khosingema,Gailmabalane,Thabangmolaba,Dillonwindvogel,Natashathahane,Arnogreeff,Xoliletshabalala,Getmoresithole,Cindymahlangu,Ryledemorny,Gretelifincham,Sellomaakeka-Ncube,Odwagwanya,Mekailamathys,Sandischultz,Duanewilliams,Shamillamiller,Patrickmofokeng",Southafrica,24-Sep-21,2021,TV-MA,2Seasons,"Internationaltvshows,Tvdramas,Tvmysteries","Aftercrossingpathsataparty,aCapeTownteensetsouttoprovewhetheraprivate-schoolswimmingstarishersisterwhowasabductedatbirth.","Text cleaned, spaces removed, duplicates handled"
s3,TVShow,Ganglands,Julienleclercq,"Samibouajila,Tracygotoas,Samueljouy,Nabihaakkari,Sofialesaffre,Salimkechiouche,Noureddinefarihi,Geertvanrampelberg,Bakarydiombera",,24-Sep-21,2021,TV-MA,1Season,"Crimetvshows,Internationaltvshows,Tvaction&Adventure","Toprotecthisfamilyfromapowerfuldruglord,skilledthiefMehdiandhisexpertteamofrobbersarepulledintoaviolentanddeadlyturfwar.","Text cleaned, spaces removed, duplicates handled"
s4,TVShow,Jailbirdsneworleans,,,,24-Sep-21,2021,TV-MA,1Season,"Docuseries,Realitytv","Feuds,flirtationsandtoilettalkgodownamongtheincarceratedwomenattheOrleansJusticeCenterinNewOrleansonthisgrittyrealityseries.","Text cleaned, spaces removed, duplicates handled"
s5,TVShow,Kotafactory,,"Mayurmore,Jitendrakumar,Ranjanraj,Alamkhan,Ahsaaschanna,Revathipillai,Urvisingh,Arunkumar",India,24-Sep-21,2021,TV-MA,2Seasons,"Internationaltvshows,Romantictvshows,Tvcomedies","InacityofcoachingcentersknowntotrainIndia‚Äôsfinestcollegiateminds,anearnestbutunexceptionalstudentandhisfriendsnavigatecampuslife.","Text cleaned, spaces removed, duplicates handled"
s6,TVShow,Midnightmass,Mikeflanagan,"Katesiegel,Zachgilford,Hamishlinklater,Henrythomas,Kristinlehman,Samanthasloyan,Igbyrigney,Rahulkohli,Annarahcymone,Annabethgish,Alexessoe,Rahulabburi,Mattbiedel,Michaeltrucco,Crystalbalint,Louisoliver",,24-Sep-21,2021,TV-MA,1Season,"Tvdramas,Tvhorror,Tvmysteries","Thearrivalofacharismaticyoungpriestbringsgloriousmiracles,ominousmysteriesandrenewedreligiousfervortoadyingtowndesperatetobelieve.","Text cleaned, spaces removed, duplicates handled"
s7,Movie,Mylittlepony:Anewgeneration,"Robertcullen,Jos„©Luisucha","Vanessahudgens,Kimikoglenn,Jamesmarsden,Sofiacarson,Lizakoshy,Kenjeong,Elizabethperkins,Janekrakowski,Michaelmckean,Phillamarr",,24-Sep-21,2021,PG,91min,Children&Familymovies,"Equestria'sdivided.Butabright-eyedherobelievesEarthPonies,PegasiandUnicornsshouldbepals‚Äîand,hooftoheart,she‚Äôsdeterminedtoproveit.","Text cleaned, spaces removed, duplicates handled"
s8,Movie,Sankofa,Hailegerima,"Kofighanaba,Oyafunmikeogunlano,Alexandraduah,Nickmedley,Mutabaruka,Afemoomilami,Reggiecarter,Mzuri","Unitedstates,Ghana,Burkinafaso,Unitedkingdom,Germany,Ethiopia",24-Sep-21,1993,TV-MA,125min,"Dramas,Independentmovies,Internationalmovies","OnaphotoshootinGhana,anAmericanmodelslipsbackintime,becomesenslavedonaplantationandbearswitnesstotheagonyofherancestralpast.","Text cleaned, spaces removed, duplicates handled"
s9,TVShow,Thegreatbritishbakingshow,Andydevonshire,"Melgiedroyc,Sueperkins,Maryberry,Paulhollywood",Unitedkingdom,24-Sep-21,2021,TV-14,9Seasons,"Britishtvshows,Realitytv","Atalentedbatchofamateurbakersfaceoffina10-weekcompetition,whippinguptheirbestdishesinthehopesofbeingnamedtheU.K.'sbest.","Text cleaned, spaces removed, duplicates handled"
s10,Movie,Thestarling,Theodoremelfi,"Melissamccarthy,Chriso'Dowd,Kevinkline,Timothyolyphant,Daveeddiggs,Skylergisondo,Lauraharrier,Rosalindchao,Kimberlyquinn,Lorettadevine,Ravikapoor",Unitedstates,24-Sep-21,2021,PG-13,104min,"Comedies,Dramas",Awomanadjustingtolifeafteralosscontendswithafeistybirdthat'stakenoverhergarden‚Äîandahusbandwho'sstrugglingtofindawayforward.,"Text cleaned, spaces removed, duplicates handled"
s11,TVShow,"Vendetta:Truth,Liesandthemafia",,,,24-Sep-21,2021,TV-MA,1Season,"Crimetvshows,Docuseries,Internationaltvshows","Sicilyboastsabold""Anti-Mafia""coalition.Butwhathappenswhenthosetryingtobringdownorganizedcrimeareaccusedofbeingcriminalsthemselves?","Text cleaned, spaces removed, duplicates handled"
s12,TVShow,Bangkokbreaking,Kongkiatkomesiri,"Sukollawatkanarot,Susharmanaying,Pavaritmongkolpisit,Sahajakboonthanakit,Suthipongsethatphithakkul,Bhasawornbawronkirati,Daweeritchullasapya,Waratthayawongchayaporn,Kittiphoomwongpentak,Abhichathanachanun,Nophandboonyai,Kittipongkhamsat,Arisarawongchalee,Jaytiyanaiwattanakul,Pantipaarunwattanachai,Panupanjantanawong,Kungtapsaelim,Phumphatchartsuriyakiat,Issaraveranitinunt,Keeratisivakuae,Panjaisirisuwan,Supraneecharoenpol,Sudachuenban,Visakabanhansupavat,Pitchatornsantinatornkul",,23-Sep-21,2021,TV-MA,1Season,"Crimetvshows,Internationaltvshows,Tvaction&Adventure","StrugglingtoearnalivinginBangkok,amanjoinsanemergencyrescueserviceandrealizeshemustunravelacitywideconspiracy.","Text cleaned, spaces removed, duplicates handled"
s13,Movie,Jesuiskarl,Christianschwochow,"Lunawedler,Jannisniew„∂Hner,Milanpeschel,Edinhasanovi‰á,Annafialov„°,Marlonboess,Victorboccard,Fleurgeffrier,Azizdyab,M„©Laniefouch„©,Elizavetamaximov„°","Germany,Czechrepublic",23-Sep-21,2021,TV-MA,127min,"Dramas,Internationalmovies","Aftermostofherfamilyismurderedinaterroristbombing,ayoungwomanisunknowinglyluredintojoiningtheverygroupthatkilledthem.","Text cleaned, spaces removed, duplicates handled"
s14,Movie,Confessionsofaninvisiblegirl,Brunogarotti,"Klaracastanho,Luccapicon,J„∫liagomes,Marcusbessa,Kiriamalheiros,Fernandaconcon,Gabriellima,Caiocabral,Leonardocidade,Jadecardozo",,22-Sep-21,2021,TV-PG,91min,"Children&Familymovies,Comedies","Whenthecleverbutsocially-awkwardTet√™joinsanewschool,she'lldoanythingtofitin.Butthequeenbeeamongherclassmateshasotherideas.","Text cleaned, spaces removed, duplicates handled"
s15,TVShow,Crimestories:Indiadetectives,,,,22-Sep-21,2021,TV-MA,1Season,"Britishtvshows,Crimetvshows,Docuseries",CamerasfollowingBengalurupoliceonthejobofferarareglimpseintothecomplexandchallenginginnerworkingsoffourmajorcrimeinvestigations.,"Text cleaned, spaces removed, duplicates handled"
s16,TVShow,Dearwhitepeople,,"Loganbrowning,Brandonp.Bell,Deronhorton,Antoinetterobertson,Johnpatrickamedori,Ashleyblainefeatherson,Marquerichardson,Giancarloesposito",Unitedstates,22-Sep-21,2021,TV-MA,4Seasons,"Tvcomedies,Tvdramas","StudentsofcolornavigatethedailyslightsandslipperypoliticsoflifeatanIvyLeaguecollegethat'snotnearlyas""post-racial""asitthinks.","Text cleaned, spaces removed, duplicates handled"
s17,Movie,Europe'Smostdangerousman:Ottoskorzenyinspain,"Pedrodeechavegarc„≠A,Pabloazor„≠Nwilliams",,,22-Sep-21,2020,TV-MA,67min,"Documentaries,Internationalmovies","Declassifieddocumentsrevealthepost-WWIIlifeofOttoSkorzeny,acloseHitlerallywhoescapedtoSpainandbecameanadvisertoworldpresidents.","Text cleaned, spaces removed, duplicates handled"
s18,TVShow,Falsaidentidad,,"Luisernestofranco,Camilasodi,Sergiogoyri,Samadhizendejas,Eduardoy„°√±Ez,Sonyasmith,Alejandrocamacho,Azelarobinson,Urieldeltoro,G„©Raldinebaz„°N,Gabrielaroel,Marcusornellas",Mexico,22-Sep-21,2020,TV-MA,2Seasons,"Crimetvshows,Spanish-Languagetvshows,Tvdramas",StrangersDiegoandIsabelfleetheirhomeinMexicoandpretendtobeamarriedcoupletoescapehisdrug-dealingenemiesandherabusivehusband.,"Text cleaned, spaces removed, duplicates handled"
s19,Movie,Intrusion,Adamsalky,"Freidapinto,Loganmarshall-Green,Robertjohnburke,Meganelisabethkelly,Sarahminnich,Hayeshargrove,Marksivertsen,Brandonfierro,Antoniovalles,Clintobenchain",,22-Sep-21,2021,TV-14,94min,Thrillers,"Afteradeadlyhomeinvasionatacouple‚Äôsnewdreamhouse,thetraumatizedwifesearchesforanswers‚Äîandlearnstherealdangerisjustbeginning.","Text cleaned, spaces removed, duplicates handled"
s20,TVShow,Jaguar,,"Blancasu„°Rez,Iv„°Nmarcos,√ìScarcasas,Adri„°Nlastra,Francescgarrido,Stefanweinert,Juliam„∂Ller,Aliciachojnowski",,22-Sep-21,2021,TV-MA,1Season,"Internationaltvshows,Spanish-Languagetvshows,Tvaction&Adventure","Inthe1960s,aHolocaustsurvivorjoinsagroupofself-trainedspieswhoseekjusticeagainstNazisfleeingtoSpaintohideafterWWII.","Text cleaned, spaces removed, duplicates handled"
s21,TVShow,Monstersinside:The24Facesofbillymilligan,Oliviermegaton,,,22-Sep-21,2021,TV-14,1Season,"Crimetvshows,Docuseries,Internationaltvshows","Inthelate1970s,anaccusedserialrapistclaimsmultiplepersonalitiescontrolhisbehavior,settingoffalegalodysseythatcaptivatesAmerica.","Text cleaned, spaces removed, duplicates handled"
s22,TVShow,Resurrection:Ertugrul,,"Enginaltand„ºZyatan,Serdarg„∂Khan,H„ºLyadarcan,KaantaÂˇaner,Esrabilgi„ß,Osmansoykut,Serdardeniz,CengizcoÂˇkun,Reshadstrik,HandesubaÂˇ‰±",Turkey,22-Sep-21,2018,TV-14,5Seasons,"Internationaltvshows,Tvaction&Adventure,Tvdramas","Whenagooddeedunwittinglyendangershisclan,a13th-centuryTurkishwarrioragreestofightasultan'senemiesinexchangefornewtriballand.","Text cleaned, spaces removed, duplicates handled"
s23,Movie,Avvaishanmughi,K.S.Ravikumar,"Kamalhassan,Meena,Geminiganesan,Heerarajgopal,Nassar,S.P.Balasubrahmanyam",,21-Sep-21,1996,TV-PG,161min,"Comedies,Internationalmovies","Newlydivorcedanddeniedvisitationrightswithhisdaughter,adotingfatherdisguiseshimselfasagray-hairednannyinordertospendtimewithher.","Text cleaned, spaces removed, duplicates handled"
s24,Movie,Go!Go!Corycarson:Chrissytakesthewheel,"Alexwoo,Stanleymoore","Maisiebenson,Paulkillam,Kerrygudjohnsen,Aclim",,21-Sep-21,2021,TV-Y,61min,Children&Familymovies,"Fromarcadegamestosleddaysandhiccupcures,CoryCarson‚ÄôscuriouslittlesisterChrissyspeedsoffonherownforfunandadventureallovertown!","Text cleaned, spaces removed, duplicates handled"
s25,Movie,Jeans,S.Shankar,"Prashanth,Aishwaryaraibachchan,Srilakshmi,Nassar",India,21-Sep-21,1998,TV-14,166min,"Comedies,Internationalmovies,Romanticmovies","Whenthefatherofthemanshelovesinsiststhathistwinsonsmarrytwinsisters,awomancreatesanalteregothatmightbeabittooconvincing.","Text cleaned, spaces removed, duplicates handled"
s26,TVShow,Loveonthespectrum,,Brookesatchwell,Australia,21-Sep-21,2021,TV-14,2Seasons,"Docuseries,Internationaltvshows,Realitytv","Findinglovecanbehardforanyone.Foryoungadultsontheautismspectrum,exploringtheunpredictableworldofdatingisevenmorecomplicated.","Text cleaned, spaces removed, duplicates handled"
s27,Movie,Minsarakanavu,Rajivmenon,"Arvindswamy,Kajol,Prabhudeva,Nassar,S.P.Balasubrahmanyam,Girishkarnad",,21-Sep-21,1997,TV-PG,147min,"Comedies,Internationalmovies,Music&Musicals",Atangledlovetriangleensueswhenamanfallsforawomanstudyingtobecomeanun‚Äîandshefallsforthefriendheenliststohelphimpursueher.,"Text cleaned, spaces removed, duplicates handled"
s28,Movie,Grownups,Dennisdugan,"Adamsandler,Kevinjames,Chrisrock,Davidspade,Robschneider,Salmahayek,Mariabello,Mayarudolph,Colinquinn,Timmeadows,Joycevanpatten",Unitedstates,20-Sep-21,2010,PG-13,103min,Comedies,"Mourningthelossoftheirbelovedjuniorhighbasketballcoach,fivemiddle-agedpalsreuniteatalakehouseandrediscoverthejoysofbeingakid.","Text cleaned, spaces removed, duplicates handled"
s29,Movie,Darkskies,Scottstewart,"Kerirussell,Joshhamilton,J.K.Simmons,Dakotagoyo,Kadanrockett,L.J.Benet,Richhutchman,Myndycrist,Anniethurman,Jakebrennan",Unitedstates,19-Sep-21,2013,PG-13,97min,"Horrormovies,Sci-Fi&Fantasy","Afamily‚Äôsidyllicsuburbanlifeshatterswhenanalienforceinvadestheirhome,andastheystruggletoconvinceothersofthedeadlythreat.","Text cleaned, spaces removed, duplicates handled"
s30,Movie,Paranoia,Robertluketic,"Liamhemsworth,Garyoldman,Amberheard,Harrisonford,Lucastill,Embethdavidtz,Julianmcmahon,Joshholloway,Richarddreyfuss,Angelasarafyan","Unitedstates,India,France",19-Sep-21,2013,PG-13,106min,Thrillers,"Blackmailedbyhiscompany'sCEO,alow-levelemployeefindshimselfforcedtospyontheboss'srivalandformermentor.","Text cleaned, spaces removed, duplicates handled"
